,@D,@T,@NVl,@Vl,@L,@Cl,@St,@UI_1
347,757,4:54:00 AM,"2,132","2,132 Hours",0,,2,3
348,757,5:54:00 AM,"2,132","2,132 Hours",0,,2,3
349,757,10:56:00 AM,"2,133","2,133 Hours",0,,2,3
350,758,4:54:00 AM,"2,135","2,135 Hours",0,,2,3
351,759,4:54:00 AM,"2,136","2,136 Hours",0,,2,3
352,759,7:29:00 PM,"2,138","2,138 Hours",0,,2,3
353,760,4:54:00 AM,"2,138","2,138 Hours",0,,2,3
354,760,6:54:00 AM,"2,138","2,138 Hours",0,,2,3
355,760,12:00:00 PM,"2,138","2,138 Hours",0,,2,3
356,761,4:54:00 AM,"2,138","2,138 Hours",0,,2,3
357,762,4:54:00 AM,"2,140","2,140 Hours",0,,2,3
358,763,4:54:00 AM,"2,141","2,141 Hours",0,,2,3
359,764,4:54:00 AM,"2,143","2,143 Hours",0,,2,3
360,765,4:54:00 AM,"2,145","2,145 Hours",0,,2,3
361,765,10:54:00 AM,"2,145","2,145 Hours",0,,2,3
362,766,4:54:00 AM,"2,146","2,146 Hours",0,,2,3
363,767,4:54:00 AM,"2,147","2,147 Hours",0,,2,3
364,768,4:54:00 AM,"2,148","2,148 Hours",0,,2,3
365,768,9:15:00 AM,"2,149","2,149 Hours",0,,2,3
366,768,10:54:00 AM,"2,149","2,149 Hours",0,,2,3
367,768,1:48:00 PM,"2,149","2,149 Hours",0,,2,3
368,768,10:54:00 PM,"2,149","2,149 Hours",0,,2,3
369,769,4:54:00 AM,"2,149","2,149 Hours",0,,2,3
370,770,4:54:00 AM,"2,150","2,150 Hours",0,,2,3
371,1,2:48:00 PM,"2,150","2,150 Hours",0,,2,3
372,1,3:33:00 PM,0,0 Hours,0,,2,3
373,1,3:54:00 PM,0,0 Hours,0,,2,3
374,772,4:13:00 PM,1,1 Hours,0,,2,3
375,772,4:50:00 PM,1,1 Hours,0,,2,3
376,772,9:54:00 PM,1,1 Hours,0,,2,3
377,773,4:54:00 AM,1,1 Hours,0,,2,3
378,773,9:07:00 AM,1,1 Hours,0,,2,3
379,774,2:43:00 PM,3,3 Hours,0,,2,775
380,774,3:26:00 PM,4,4 Hours,0,,2,775
381,774,3:37:00 PM,4,4 Hours,0,,2,775
382,776,1:10:00 PM,26,26 Hours,0,,2,775
383,776,10:57:00 PM,35,35 Hours,0,,2,775
384,777,1:05:00 PM,50,50 Hours,0,,2,775
385,777,1:09:00 PM,50,50 Hours,0,,2,775
386,777,5:49:00 PM,54,54 Hours,0,,2,775
387,779,9:58:00 AM,54,54 Hours,0,,2,775
388,780,11:54:00 PM,92,92 Hours,0,,2,775
389,781,1:40:00 PM,130,130 Hours,0,,2,5
390,13,1:53:00 PM,154,154 Hours,0,,2,5
